country,date,poverty
italy,2015,9508
italy,2016,9748
italy,2017,9925
italy,2018,10106
italy,2019,10299
italy,2020,10840
italy,2021,10519
france,2015,12849
france,2016,13028
france,2017,13176
france,2018,13332
france,2019,13537
france,2020,13286
france,2021,13608
germany,2015,12401
germany,2016,12765
germany,2017,13152
germany,2018,13628
germany,2019,14109
germany,2020,15605
germany,2021,15009
spain,2015,8011
spain,2016,8209
spain,2017,8522
spain,2018,8871
spain,2019,9009
spain,2020,9626
spain,2021,9535




