DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,3.1,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,2.6,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,1.5,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,0.6,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,0.1,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,0.2,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,1.7,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,1.9,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,1.5,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,0.7,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2021,2.9,
ESTAT:TEC00118(1.0),18/01/23 11:00:00,Annual,Annual average rate of change,All-items HICP,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022,9.2,
